neuron,cluster,formula,pair_num,pre,hyp
283,1,((((NOT pre:tok:is) AND (hyp:tok:and OR oth:overlap:overlap75)) OR hyp:tok:home) OR hyp:tok:after),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
283,1,((((NOT pre:tok:is) AND (hyp:tok:and OR oth:overlap:overlap75)) OR hyp:tok:home) OR hyp:tok:after),2,"Two women are embracing while holding to go packages .
","The men are fighting outside a deli .
"
283,2,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:from) OR hyp:tok:their) AND (NOT pre:tok:three)),24,"A young boy in a field of flowers carrying a ball
","boy leaving baseball game
"
283,2,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:from) OR hyp:tok:their) AND (NOT pre:tok:three)),49,"Kids are on a amusement ride .
","A car is broke down on the side of the road .
"
283,3,((((NOT pre:tok:and) AND (hyp:tok:for OR hyp:tok:while)) OR hyp:tok:sad) OR hyp:tok:track),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
283,3,((((NOT pre:tok:and) AND (hyp:tok:for OR hyp:tok:while)) OR hyp:tok:sad) OR hyp:tok:track),7,"A man selling donuts to a customer during a world exhibition event held in the city of Angeles
","A man selling donuts to a customer during a world exhibition event while people wait in line behind him .
"
283,4,((((hyp:tok:after OR hyp:tok:sad) OR hyp:tok:caught) OR hyp:tok:pick) OR hyp:tok:during),47,"A white dog with long hair jumps to catch a red and green toy .
","A white chihuahua mix with long curly hair is jumping to catch a red and green toy bone .
"
283,4,((((hyp:tok:after OR hyp:tok:sad) OR hyp:tok:caught) OR hyp:tok:pick) OR hyp:tok:during),64,"A group of onlookers glance at a person doing a strange trick on her head .
","Onlookers are impressed by the trick .
"
1000,1,((((NOT oth:overlap:overlap75) AND (hyp:tok:is OR hyp:tok:woman)) AND (NOT pre:tok:white)) OR pre:tok:walk),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
1000,1,((((NOT oth:overlap:overlap75) AND (hyp:tok:is OR hyp:tok:woman)) AND (NOT pre:tok:white)) OR pre:tok:walk),3,"Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .
","Two kids in numbered jerseys wash their hands .
"
1000,2,((((hyp:tok:playing OR pre:tok:snow) OR hyp:tok:play) OR hyp:tok:driving) OR hyp:tok:around),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
1000,2,((((hyp:tok:playing OR pre:tok:snow) OR hyp:tok:play) OR hyp:tok:driving) OR hyp:tok:around),2,"Two women are embracing while holding to go packages .
","The men are fighting outside a deli .
"
1000,3,(((((NOT pre:tok:running) AND hyp:tok:running) OR hyp:tok:soccer) AND (NOT pre:tok:soccer)) OR hyp:tok:everyone),56,"A older gentleman finds it humorous that he is getting his picture taken while doing his laundry .
","two ladies pin clothes to dry
"
1000,3,(((((NOT pre:tok:running) AND hyp:tok:running) OR hyp:tok:soccer) AND (NOT pre:tok:soccer)) OR hyp:tok:everyone),63,"A group of onlookers glance at a person doing a strange trick on her head .
","A boy does a card trick .
"
1000,4,((((hyp:tok:dancing OR hyp:tok:moon) OR hyp:tok:hide) OR hyp:tok:drums) AND (NOT pre:tok:black)),40,"At an outdoor event in an Asian - themed area , a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera .
","A crowd is dancing
"
1000,4,((((hyp:tok:dancing OR hyp:tok:moon) OR hyp:tok:hide) OR hyp:tok:drums) AND (NOT pre:tok:black)),67,"The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf .
","Only one woman is wearing a head scarf .
"
1023,1,((((oth:overlap:overlap25 OR pre:tok:in) OR pre:tok:with) AND (NOT hyp:tok:outside)) OR pre:tok:to),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
1023,1,((((oth:overlap:overlap25 OR pre:tok:in) OR pre:tok:with) AND (NOT hyp:tok:outside)) OR pre:tok:to),2,"Two women are embracing while holding to go packages .
","The men are fighting outside a deli .
"
1023,2,((((hyp:tok:is OR pre:tok:in) OR pre:tok:on) AND (NOT oth:overlap:overlap50)) OR hyp:tok:to),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
1023,2,((((hyp:tok:is OR pre:tok:in) OR pre:tok:on) AND (NOT oth:overlap:overlap50)) OR hyp:tok:to),20,"A woman is doing a cartwheel while wearing a bikini in the sand next to the beach .
","A woman is doing a cartwheel and falls on her head .
"
1023,3,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:at) OR hyp:tok:his) AND (NOT oth:overlap:overlap75)),4,"Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .
","Two kids at a ballgame wash their hands .
"
1023,3,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:at) OR hyp:tok:his) AND (NOT oth:overlap:overlap75)),11,"Two young boys of opposing teams play football , while wearing full protection uniforms and helmets .
","boys scoring a touchdown
"
1023,4,((((hyp:tok:for OR hyp:tok:home) OR hyp:tok:tall) OR hyp:tok:party) AND (NOT oth:overlap:overlap75)),35,"Man in a black suit , white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him .
","A tall person in a suit
"
1023,4,((((hyp:tok:for OR hyp:tok:home) OR hyp:tok:tall) OR hyp:tok:party) AND (NOT oth:overlap:overlap75)),52,"A man in a black shirt is playing golf outside .
","The man in the black shirt trades Pokemon cards with his girlfriend .
"
173,1,((((NOT pre:tok:his) AND (hyp:tok:dog OR hyp:tok:in)) OR hyp:tok:standing) AND (NOT oth:overlap:overlap75)),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
173,1,((((NOT pre:tok:his) AND (hyp:tok:dog OR hyp:tok:in)) OR hyp:tok:standing) AND (NOT oth:overlap:overlap75)),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
173,2,((((NOT oth:overlap:overlap50) AND (pre:tok:sitting OR pre:tok:water)) OR pre:tok:purple) OR hyp:tok:driving),10,"Two young boys of opposing teams play football , while wearing full protection uniforms and helmets .
","dog eats out of bowl
"
173,2,((((NOT oth:overlap:overlap50) AND (pre:tok:sitting OR pre:tok:water)) OR pre:tok:purple) OR hyp:tok:driving),20,"A woman is doing a cartwheel while wearing a bikini in the sand next to the beach .
","A woman is doing a cartwheel and falls on her head .
"
173,3,((((NOT pre:tok:dog) AND (hyp:tok:dog OR hyp:tok:running)) OR pre:tok:dock) OR hyp:tok:runs),2,"Two women are embracing while holding to go packages .
","The men are fighting outside a deli .
"
173,3,((((NOT pre:tok:dog) AND (hyp:tok:dog OR hyp:tok:running)) OR pre:tok:dock) OR hyp:tok:runs),40,"At an outdoor event in an Asian - themed area , a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera .
","A crowd is dancing
"
173,4,((((NOT oth:overlap:overlap25) AND (hyp:tok:jumping OR hyp:tok:running)) OR hyp:tok:chasing) OR hyp:tok:balcony),91,"A little boy in a blue shirt holding a toy .
","Boy dressed in red lighting things on fire .
"
173,4,((((NOT oth:overlap:overlap25) AND (hyp:tok:jumping OR hyp:tok:running)) OR hyp:tok:chasing) OR hyp:tok:balcony),119,"A person powerwashing stairs leading down to a pool .
","a dog chases a cat
"
15,1,((((hyp:tok:sitting OR hyp:tok:sleeping) OR hyp:tok:sleeps) OR hyp:tok:sit) AND (NOT hyp:tok:people)),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
15,1,((((hyp:tok:sitting OR hyp:tok:sleeping) OR hyp:tok:sleeps) OR hyp:tok:sit) AND (NOT hyp:tok:people)),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
15,2,((((hyp:tok:sits OR hyp:tok:sitting) OR hyp:tok:sleeping) AND (NOT oth:overlap:overlap50)) AND (NOT hyp:tok:down)),10,"Two young boys of opposing teams play football , while wearing full protection uniforms and helmets .
","dog eats out of bowl
"
