sentences,cluster,neuron,feature,iou
"['Two women are embracing while holding to go packages .\n', 'The men are fighting outside a deli .\n']",1,1000,pre:tok:in,1.0
"['Two women are embracing while holding to go packages .\n', 'The men are fighting outside a deli .\n']",2,850,pre:tok:in,1.0
"['Two women are embracing while holding to go packages .\n', 'The men are fighting outside a deli .\n']",3,0,pre:tok:in,1.0
"['Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .\n', 'Two kids at a ballgame wash their hands .\n']",5,1023,pre:tok:in,1.0
"['Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .\n', 'Two kids in jackets walk to school .\n']",2,850,pre:tok:in,1.0
"['Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .\n', 'Two kids in jackets walk to school .\n']",3,0,pre:tok:in,1.0
"['Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .\n', 'Two kids in jackets walk to school .\n']",5,1023,pre:tok:in,1.0
"['A man selling donuts to a customer during a world exhibition event held in the city of Angeles\n', 'A woman drinks her coffee in a small cafe .\n']",2,1023,pre:tok:in,1.0
"['A man selling donuts to a customer during a world exhibition event held in the city of Angeles\n', 'A woman drinks her coffee in a small cafe .\n']",4,0,pre:tok:in,1.0
"['Two young boys of opposing teams play football , while wearing full protection uniforms and helmets .\n', 'dog eats out of bowl\n']",2,850,pre:tok:and,1.0
"['Two young boys of opposing teams play football , while wearing full protection uniforms and helmets .\n', 'dog eats out of bowl\n']",2,1023,pre:tok:and,1.0
"['Two young boys of opposing teams play football , while wearing full protection uniforms and helmets .\n', 'dog eats out of bowl\n']",5,0,pre:tok:and,1.0
"['Two young boys of opposing teams play football , while wearing full protection uniforms and helmets .\n', 'boys scoring a touchdown\n']",5,1023,pre:tok:in,1.0
