neuron,cluster,formula,pair_num,pre,hyp
1023,1,((((oth:overlap:overlap25 OR pre:tok:in) OR pre:tok:with) AND (NOT hyp:tok:outside)) OR pre:tok:to),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
1023,1,((((oth:overlap:overlap25 OR pre:tok:in) OR pre:tok:with) AND (NOT hyp:tok:outside)) OR pre:tok:to),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
1023,2,((((hyp:tok:is OR pre:tok:in) OR pre:tok:on) AND (NOT oth:overlap:overlap50)) OR hyp:tok:to),738,"A group is gathered outside holding flowers .
","The flowers are all red
"
1023,2,((((hyp:tok:is OR pre:tok:in) OR pre:tok:on) AND (NOT oth:overlap:overlap50)) OR hyp:tok:to),765,"A girl in a pink tank top and her boyfriend sitting on stone steps .
","A girl is sitting on stone steps in a pink tank top with her boyfriend .
"
1023,3,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:at) OR hyp:tok:his) AND (NOT oth:overlap:overlap75)),392,"A dog reaches to catch a ball with its mouth .
","The dog is playing with a rope .
"
1023,3,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:at) OR hyp:tok:his) AND (NOT oth:overlap:overlap75)),473,"A dog leaps into the air in a grassy field surrounded by trees .
","A dog is sleeping in a grassy field surrounded by trees .
"
1023,4,((((hyp:tok:for OR hyp:tok:home) OR hyp:tok:tall) OR hyp:tok:party) AND (NOT oth:overlap:overlap75)),270,"A couple bows their head as a man in a decorative robe reads from a scroll in Asia with a black late model station wagon in the background .
","A black late model station wagon is in the background .
"
1023,4,((((hyp:tok:for OR hyp:tok:home) OR hyp:tok:tall) OR hyp:tok:party) AND (NOT oth:overlap:overlap75)),1000,"Guy in a dark suit , with a cigarette in his right hand while talking on the phone .
","The guy in the suit smoking the cig is on his lunch break .
"
133,1,((((hyp:tok:coffee OR hyp:tok:sleeping) OR pre:tok:grassy) OR pre:tok:trunks) OR hyp:tok:hotel),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
133,1,((((hyp:tok:coffee OR hyp:tok:sleeping) OR pre:tok:grassy) OR pre:tok:trunks) OR hyp:tok:hotel),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
133,2,((((hyp:tok:inside OR hyp:tok:tv) OR hyp:tok:bed) OR hyp:tok:chair) AND (NOT oth:overlap:overlap50)),129,"A group of people prepare hot air balloons for takeoff .
","A group of people are outside .
"
133,2,((((hyp:tok:inside OR hyp:tok:tv) OR hyp:tok:bed) OR hyp:tok:chair) AND (NOT oth:overlap:overlap50)),533,"A man with a hat , boots , and brown pants , is playing the violin outside in front of a black structure .
","A homeless man has stolen a child 's violin in order to fulfill his fantasy of joining the London Symphony Orchestra .
"
133,3,(((((NOT pre:tok:with) AND hyp:tok:inside) OR hyp:tok:couch) AND (NOT hyp:tok:are)) OR hyp:tok:indoors),15,"Under a blue sky with white clouds , a child reaches up to touch the propeller of a plane standing parked on a field of grass .
","A child is reaching to touch the propeller of a plane .
"
133,3,(((((NOT pre:tok:with) AND hyp:tok:inside) OR hyp:tok:couch) AND (NOT hyp:tok:are)) OR hyp:tok:indoors),203,"A white - haired man with a mustache and glasses in a business suit stands outside at a podium marked with the seal of the US House of Representatives , surrounded by many people , with a columned building behind him .
","The man is sitting in a chair inside .
"
133,4,((((hyp:tok:inside AND pre:tok:and) OR hyp:tok:bedroom) AND (NOT pre:tok:at)) AND (NOT pre:tok:his)),782,"A man wearing a red and white Canadian uniform is riding a racing bike in an arena .
","A man wearing a helmet is cycling .
"
738,1,((((oth:overlap:overlap25 OR pre:tok:in) OR hyp:tok:are) AND (NOT hyp:tok:sleeping)) AND (NOT hyp:tok:person)),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
738,1,((((oth:overlap:overlap25 OR pre:tok:in) OR hyp:tok:are) AND (NOT hyp:tok:sleeping)) AND (NOT hyp:tok:person)),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
738,2,((((hyp:tok:for OR oth:overlap:overlap25) OR hyp:tok:outside) AND (NOT pre:tok:some)) AND (NOT hyp:tok:sleeping)),557,"A girl with brown hair and a brown shirt is building a gingerbread house .
","The girl has brown hair .
"
738,2,((((hyp:tok:for OR oth:overlap:overlap25) OR hyp:tok:outside) AND (NOT pre:tok:some)) AND (NOT hyp:tok:sleeping)),1021,"Two people are looking at something in New York City .
","A woman looking outside .
"
738,3,((((NOT hyp:tok:girl) AND (hyp:tok:person OR oth:overlap:overlap25)) OR hyp:tok:there) AND (NOT pre:tok:up)),265,"A man is a safety suit walking outside while another man in a dark suit walks into a building .
","Men are walking in different directions .
"
738,3,((((NOT hyp:tok:girl) AND (hyp:tok:person OR oth:overlap:overlap25)) OR hyp:tok:there) AND (NOT pre:tok:up)),575,"A man and a woman sit on a deck under a blue sky that is about to be overtaken by tumultuous clouds .
","The man and woman are sitting at home .
"
738,4,((((NOT hyp:tok:man) AND (hyp:tok:there OR oth:overlap:overlap75)) OR hyp:tok:person) OR hyp:tok:human),473,"A dog leaps into the air in a grassy field surrounded by trees .
","A dog is sleeping in a grassy field surrounded by trees .
"
738,4,((((NOT hyp:tok:man) AND (hyp:tok:there OR oth:overlap:overlap75)) OR hyp:tok:person) OR hyp:tok:human),738,"A group is gathered outside holding flowers .
","The flowers are all red
"
410,1,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR hyp:tok:woman)) OR hyp:tok:cat) AND (NOT hyp:tok:there)),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
410,1,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR hyp:tok:woman)) OR hyp:tok:cat) AND (NOT hyp:tok:there)),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
410,2,((((NOT oth:overlap:overlap50) AND (hyp:tok:dog OR hyp:tok:in)) OR hyp:tok:inside) AND (NOT pre:tok:are)),284,"Two male police officers on patrol , wearing the normal gear and bright green reflective shirts .
","The officers have shot an unarmed black man and will not go to prison for it .
"
410,2,((((NOT oth:overlap:overlap50) AND (hyp:tok:dog OR hyp:tok:in)) OR hyp:tok:inside) AND (NOT pre:tok:are)),375,"A child is looking out of a door .
","The child is asleep .
"
