sparse_topic,dense_topic,score
"{'old', 'young', 'older'}","{'family', 'woman', 'gentleman', 'someone', 'women', 'girl', 'young', 'he', 'not', 'man', 'just', 'lady', 'child', 'kids', 'ex', 'friend', 'older', 'female', 'she', 'friends', 'boy', 'it', 'wife', 'boys', 'elderly', 'girls', 'male', 'something', 'little', 'son', 'one', 'nobody', 'children', 'old', 'his', 'her', 'men', 'married', 'him', 'guy', 'else', 'another'}",0.07142857142857142
"{'woman', 'women', 'girl', 'he', 'man', 'lady', 'child', 'kids', 'ex', 'friends', 'boy', 'sisters', 'wife', 'boys', 'elderly', 'girls', 'sister', 'son', 'children', 'daughter', 'her', 'men', 'his', 'married'}","{'family', 'woman', 'gentleman', 'someone', 'women', 'girl', 'young', 'he', 'not', 'man', 'just', 'lady', 'child', 'kids', 'ex', 'friend', 'older', 'female', 'she', 'friends', 'boy', 'it', 'wife', 'boys', 'elderly', 'girls', 'male', 'something', 'little', 'son', 'one', 'nobody', 'children', 'old', 'his', 'her', 'men', 'married', 'him', 'guy', 'else', 'another'}",0.4666666666666667
"{'day', 'night'}",No Match,0.0
"{'moving', 'running', 'putting', 'leaning'}","{'running', 'moving'}",0.5
"{'baseball', 'soccer', 'tennis', 'basketball', 'hockey', 'volleyball', 'golf', 'football'}","{'baseball', 'soccer', 'tennis', 'basketball', 'hockey', 'volleyball', 'football'}",0.875
"{'green', 'red', 'orange', 'pink', 'tan', 'yellow', 'white', 'dark', 'blue', 'purple', 'brown', 'black'}","{'gray', 'red', 'orange', 'brown', 'pink', 'yellow', 'white', 'blue', 'purple', 'green', 'black'}",0.7692307692307693
"{'fishing', 'swimming'}","{'wading', 'fishing', 'swimming'}",0.6666666666666666
"{'lake', 'mountain', 'park', 'air', 'water', 'scenic', 'river', 'beach', 'ocean'}","{'lake', 'mountain', 'park', 'air', 'water', 'mountains', 'river', 'beach', 'forest', 'ocean'}",0.7272727272727273
"{'skateboard', 'skateboarder'}","{'skateboard', 'skateboarder', 'snowboarder', 'skier'}",0.5
"{'street', 'city'}","{'street', 'city'}",1.0
"{'dog', 'dogs', 'cat'}","{'dog', 'dogs', 'cat'}",1.0
"{'climbing', 'riding', 'walking'}","{'climbing', 'riding', 'walking'}",1.0
"{'laying', 'getting'}",No Match,0.0
"{'station', 'building', 'vacation', 'construction'}","{'construction', 'vacation'}",0.5
"{'asian', 'african'}",No Match,0.0
"{'paint', 'painting'}",No Match,0.0
"{'inside', 'around', 'in', 'over', 'from', 'on', 'outside', 'front', 'through'}","{'inside', 'across', 'around', 'in', 'over', 'least', 'from', 'on', 'outside', 'front', 'through'}",0.8181818181818182
"{'jeans', 'shorts', 'shirt', 'shirts', 'jacket'}","{'shorts', 'jeans'}",0.4
"{'cooking', 'baking'}",No Match,0.0
"{'home', 'house'}","{'home', 'house', 'apartment'}",0.6666666666666666
"{'car', 'bike', 'bikes', 'bicycle', 'motorcycle', 'biker'}","{'car', 'bike', 'bikes', 'bicycle', 'vehicle', 'motorcycle', 'biker'}",0.8571428571428571
"{'two', 'three'}","{'two', 'three', 'four'}",0.6666666666666666
"{'asleep', 'sleeping', 'nap', 'sleep', 'sleeps'}","{'asleep', 'nap', 'sleeps', 'sleeping'}",0.8
"{'store', 'shopping'}",No Match,0.0
