neuron,cluster,formula,pair_num,pre,hyp
16,1,((((hyp:tok:to OR oth:overlap:overlap25) OR pre:tok:wearing) OR hyp:tok:for) AND (NOT hyp:tok:black)),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
16,1,((((hyp:tok:to OR oth:overlap:overlap25) OR pre:tok:wearing) OR hyp:tok:for) AND (NOT hyp:tok:black)),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
16,2,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:outside) OR hyp:tok:outdoors) OR hyp:tok:tall),8,"A man selling donuts to a customer during a world exhibition event held in the city of Angeles
","A man selling donuts to a customer .
"
16,2,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:outside) OR hyp:tok:outdoors) OR hyp:tok:tall),16,"Under a blue sky with white clouds , a child reaches up to touch the propeller of a plane standing parked on a field of grass .
","A child is reaching to touch the propeller out of curiosity .
"
1023,1,((((oth:overlap:overlap25 OR pre:tok:in) OR hyp:tok:is) OR hyp:tok:are) AND (NOT oth:overlap:overlap75)),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
1023,1,((((oth:overlap:overlap25 OR pre:tok:in) OR hyp:tok:is) OR hyp:tok:are) AND (NOT oth:overlap:overlap75)),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
1023,2,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:at) OR hyp:tok:his) AND (NOT oth:overlap:overlap75)),270,"A couple bows their head as a man in a decorative robe reads from a scroll in Asia with a black late model station wagon in the background .
","A black late model station wagon is in the background .
"
1023,2,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:at) OR hyp:tok:his) AND (NOT oth:overlap:overlap75)),392,"A dog reaches to catch a ball with its mouth .
","The dog is playing with a rope .
"
473,1,((((hyp:tok:is OR oth:overlap:overlap25) OR hyp:tok:are) OR pre:tok:and) AND (NOT hyp:tok:sleeping)),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
473,1,((((hyp:tok:is OR oth:overlap:overlap25) OR hyp:tok:are) OR pre:tok:and) AND (NOT hyp:tok:sleeping)),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
473,2,((((oth:overlap:overlap25 OR pre:tok:in) OR hyp:tok:there) AND (NOT hyp:tok:sitting)) OR pre:tok:sitting),70,"A taxi SUV drives past an urban construction site , as a man walks down the street in the other direction .
","An SUV and a man are going in opposite directions .
"
